
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[5050, 0, [0,0,0], [-0.002298, 0.006503, 0.020012], 10, [-0.058840, -0.058840, 10.767702], [-0.293885, 0.024614, 10.535137], [58.000000, 312.000000, -87.000000], [50.913200, 159.095398, -528.981628]]
DATA[5110, 0, [0,0,0], [-0.115613, 0.009405, -0.006103], 10, [-0.058840, -0.235360, -0.156906], [0.088000, -0.083782, 10.208611], [63.000000, 312.000000, -84.000000], [55.808701, 163.097794, -525.918030]]
DATA[5170, 0, [0,0,0], [-0.014821, -0.413620, -0.216698], 10, [-0.098067, -0.078453, 10.042009], [-0.745422, -0.003663, 9.677114], [48.000000, 320.000000, -79.000000], [46.996799, 166.099594, -525.918030]]
DATA[5230, 0, [0,0,0], [-0.001229, -0.687135, 0.000770], 10, [0.745305, 0.451106, 11.434554], [0.873386, -0.133267, 11.621966], [13.000000, 317.000000, -82.000000], [27.414801, 163.097794, -525.918030]]
DATA[5290, 0, [0,0,0], [0.014501, -0.003576, 0.488546], 10, [0.764919, 0.941438, 9.728197], [0.986271, 0.151862, 9.996490], [36.000000, 314.000000, -79.000000], [27.414801, 157.094193, -516.727173]]
DATA[5350, 0, [0,0,0], [-0.003520, 0.007725, 0.007184], 10, [-1.255251, -0.588399, -0.137293], [-1.196959, -0.797783, 11.683935], [78.000000, 303.000000, -79.000000], [71.474297, 152.091202, -522.854370]]
DATA[5410, 0, [0,0,0], [-0.019860, 0.008336, -0.340551], 10, [-0.215746, -0.215746, -0.156906], [-0.510046, -0.074356, 8.921576], [44.000000, 301.000000, -85.000000], [46.017700, 147.088196, -525.918030]]
DATA[5470, 0, [0,0,0], [0.013737, -0.557937, 0.003213], 10, [-0.098067, -0.098067, -0.078453], [2.047863, -0.192178, 9.021680], [9.000000, 300.000000, -92.000000], [12.728300, 156.093597, -525.918030]]
DATA[5530, 0, [0,0,0], [0.236092, 2.519755, 0.010696], 10, [1.686744, -0.078453, -0.058840], [3.642653, -0.385406, 10.311097], [63.000000, 293.000000, -89.000000], [34.268501, 150.089996, -523.875610]]
DATA[5590, 0, [0,0,0], [-0.010545, 0.007725, -0.678054], 10, [-3.373487, 0.392266, 10.493115], [-3.115990, 0.778675, 7.305633], [102.000000, 304.000000, -81.000000], [95.951797, 156.093597, -528.981628]]
DATA[5660, 0, [0,0,0], [-0.230456, 0.004976, -0.562295], 9, [-0.019613, 0.117680, 9.237864], [0.748493, -0.182753, 9.758149], [28.000000, 322.000000, -85.000000], [32.310299, 163.097794, -522.854370]]
DATA[5720, 0, [0,0,0], [0.331540, 0.009252, 0.146308], 9, [-0.098067, 0.745305, -0.137293], [0.253724, 0.366298, 9.548410], [34.000000, 305.000000, -90.000000], [31.331200, 158.094803, -537.151184]]
DATA[5780, 0, [0,0,0], [-0.012224, 0.606678, 0.141116], 9, [-0.098067, 1.059118, 8.257199], [0.866181, 1.278240, 7.188847], [30.000000, 292.000000, -97.000000], [31.331200, 148.088806, -543.278381]]
DATA[5840, 0, [0,0,0], [-0.032841, -0.004187, -0.002285], 9, [0.117680, -0.058840, -0.019613], [0.409841, 0.818734, 9.205201], [42.000000, 275.000000, -105.000000], [36.226700, 133.079803, -542.257202]]
DATA[5900, 0, [0,0,0], [-0.014057, -0.009227, 0.172576], 9, [-0.627626, -0.627626, 12.611353], [-1.970336, 0.672635, 10.601872], [33.000000, 257.000000, -114.000000], [26.435699, 128.076797, -540.214783]]
DATA[5960, 0, [0,0,0], [-0.025511, -0.002507, -0.141409], 9, [-0.098067, -0.058840, 8.590626], [2.043059, 1.092081, 6.480977], [30.000000, 266.000000, -114.000000], [24.477501, 125.074997, -547.363220]]
DATA[6020, 0, [0,0,0], [-0.700059, 0.003907, 0.006115], 9, [0.706079, 0.039227, 10.414662], [0.417046, -0.321783, 11.038033], [38.000000, 282.000000, -109.000000], [17.623800, 135.080994, -556.554016]]
DATA[6080, 0, [0,0,0], [-0.017722, 0.004518, 0.013292], 9, [-0.098067, -0.078453, -0.098067], [-0.894333, 1.348933, 6.890922], [35.000000, 342.000000, -89.000000], [25.456600, 181.108597, -536.130005]]
DATA[6140, 0, [0,0,0], [-0.004436, -0.008616, 0.681121], 9, [-0.039227, -0.804145, 8.551399], [1.625147, 0.288535, 6.376108], [58.000000, -128.000000, -66.000000], [29.372999, 215.128998, -516.727173]]
DATA[6200, 0, [0,0,0], [-0.003061, -0.288087, -0.103077], 9, [-0.039227, -2.471276, 13.631244], [-2.534757, -0.288792, 9.410173], [69.000000, 348.000000, -83.000000], [57.766899, 202.121201, -530.002808]]
DATA[6260, 0, [0,0,0], [-0.000771, 0.023760, 0.006115], 9, [-0.176520, -0.294199, -0.156906], [0.126429, 0.029327, 7.999202], [50.000000, 349.000000, -84.000000], [42.101299, 192.115204, -538.172424]]
DATA[6320, 0, [0,0,0], [0.166912, 0.003296, -0.002895], 9, [-0.117680, -0.156906, 11.003061], [-0.923154, -0.159188, 10.342082], [39.000000, 329.000000, -98.000000], [28.393900, 182.109207, -546.341980]]
DATA[6390, 0, [0,0,0], [-0.011461, -0.219975, 0.004282], 9, [0.627626, -0.078453, 9.414384], [1.848514, -0.043723, 8.206557], [34.000000, 344.000000, -91.000000], [24.477501, 184.110397, -545.320801]]
DATA[6440, 0, [0,0,0], [-0.767712, -0.284422, 0.367900], 10, [-0.058840, -0.019613, 8.865211], [0.407439, -0.465525, 9.140850], [41.000000, 370.000000, -82.000000], [26.435699, 201.120605, -526.939209]]
DATA[6510, 0, [0,0,0], [-0.267413, -0.252046, -0.005492], 10, [-0.274586, -0.156906, -0.078453], [-0.217027, -1.316200, 9.865402], [-13.000000, -122.000000, -74.000000], [-3.916400, 228.136795, -532.045227]]
DATA[6570, 0, [0,0,0], [-0.261152, -0.009838, -0.003201], 10, [1.392544, -0.137293, -0.098067], [0.075991, -1.801626, 7.987285], [-14.000000, -109.000000, -60.000000], [-12.728300, 238.142807, -515.705994]]
DATA[6630, 0, [0,0,0], [-0.003825, 0.003907, 0.576663], 10, [-2.510502, -1.745584, 13.866604], [-3.055946, -2.487350, 13.786092], [48.000000, 375.000000, -80.000000], [34.268501, 217.130203, -514.684814]]
DATA[6690, 0, [0,0,0], [-0.018944, 0.300024, -0.019542], 10, [-0.117680, -0.882599, -0.156906], [0.508314, 0.036396, 5.618187], [67.000000, 377.000000, -74.000000], [49.934101, 216.129593, -514.684814]]
DATA[6750, 0, [0,0,0], [-0.019708, 0.004212, 0.058649], 10, [0.039227, -0.156906, -0.019613], [-0.279474, -0.319426, 9.915454], [76.000000, 345.000000, -86.000000], [56.787800, 199.119400, -543.278381]]
