
Thu Jan  1 00:00:01 1970

Flight Log #1
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4200, 0, [0,0,0], [-0.013752, 0.028494, 0.001228], 15, [-0.058840, -0.098067, 10.179303], [0.013545, -0.225169, 9.736699], [-174.000000, -137.000000, -24.000000], [-122.387497, -187.112198, -501.409210]]
DATA[4260, 0, [0,0,0], [-0.012224, 0.017804, -0.000147], 15, [-0.019613, -0.098067, -0.117680], [-0.020080, -0.286436, 9.760532], [-173.000000, -138.000000, -22.000000], [-116.512901, -193.115799, -489.154785]]
DATA[4320, 0, [0,0,0], [-0.007490, 0.023302, -0.006713], 15, [-0.019613, -0.098067, -0.078453], [0.030357, -0.267584, 9.722398], [-173.000000, -139.000000, -22.000000], [-122.387497, -181.108597, -490.175995]]
DATA[4370, 0, [0,0,0], [-0.009017, 0.019331, -0.007782], 15, [0.039227, 0.039227, -0.019613], [0.047170, -0.253446, 9.755766], [-173.000000, -137.000000, -24.000000], [-120.429298, -184.110397, -502.430389]]
DATA[4420, 0, [0,0,0], [-0.006727, 0.021775, -0.005644], 15, [-0.019613, -0.058840, -0.058840], [0.006339, -0.286436, 9.741466], [-168.000000, -140.000000, -21.000000], [-120.429298, -179.107407, -503.451599]]
DATA[4480, 0, [0,0,0], [-0.004130, 0.020095, -0.001826], 15, [-0.039227, -0.039227, 10.453889], [-0.044098, -0.314713, 9.793900], [-172.000000, -140.000000, -20.000000], [-124.345703, -174.104401, -495.282013]]
DATA[4530, 0, [0,0,0], [-0.006269, 0.022538, -0.006255], 15, [0.000000, -0.078453, 10.355823], [-0.024884, -0.272297, 9.727165], [-175.000000, -134.000000, -21.000000], [-121.408401, -189.113403, -496.303192]]
DATA[4590, 0, [0,0,0], [-0.006421, 0.024523, -0.005033], 15, [-0.039227, 0.019613, 10.375436], [0.006339, -0.262872, 9.724781], [-175.000000, -134.000000, -22.000000], [-115.533798, -183.109802, -500.388000]]
DATA[4640, 0, [0,0,0], [-0.010545, 0.017040, -0.000605], 15, [-0.039227, -0.117680, -0.019613], [0.030357, -0.267584, 9.734316], [-171.000000, -141.000000, -20.000000], [-129.241196, -182.109207, -493.239594]]
DATA[4700, 0, [0,0,0], [-0.007032, 0.021775, -0.007782], 15, [-0.039227, 0.039227, -0.078453], [-0.036893, -0.220456, 9.767683], [-172.000000, -137.000000, -19.000000], [-128.262100, -184.110397, -507.536407]]
DATA[4750, 0, [0,0,0], [-0.012683, 0.021011, -0.006866], 15, [0.039227, 0.039227, -0.058840], [0.066384, -0.281723, 9.772450], [-174.000000, -135.000000, -19.000000], [-127.282997, -184.110397, -502.430389]]
DATA[4800, 0, [0,0,0], [-0.007185, 0.022691, -0.007935], 15, [0.000000, 0.039227, 10.375436], [0.020750, -0.258159, 9.755766], [-171.000000, -133.000000, -22.000000], [-123.366600, -193.115799, -499.366791]]
DATA[4860, 0, [0,0,0], [-0.011003, 0.018415, -0.005033], 15, [0.039227, -0.019613, -0.039227], [0.030357, -0.267584, 9.734316], [-170.000000, -139.000000, -21.000000], [-126.303902, -186.111603, -504.472809]]
DATA[4920, 0, [0,0,0], [-0.008865, 0.016735, -0.003354], 15, [-0.039227, -0.078453, 10.355823], [0.020750, -0.253446, 9.722398], [-171.000000, -137.000000, -20.000000], [-127.282997, -187.112198, -495.282013]]
DATA[4970, 0, [0,0,0], [-0.012835, 0.021011, -0.005950], 15, [0.000000, 0.000000, -0.058840], [-0.017678, -0.277010, 9.722398], [-171.000000, -133.000000, -23.000000], [-121.408401, -181.108597, -489.154785]]
DATA[5030, 0, [0,0,0], [-0.008101, 0.018873, -0.005644], 15, [-0.039227, -0.039227, 10.355823], [-0.010473, -0.267584, 9.717631], [-171.000000, -137.000000, -19.000000], [-117.491997, -182.109207, -500.388000]]
DATA[5080, 0, [0,0,0], [-0.011155, 0.019331, 0.028717], 15, [-0.019613, -0.078453, 10.375436], [0.003938, -0.225169, 9.731933], [-173.000000, -137.000000, -22.000000], [-119.450203, -181.108597, -502.430389]]
