
Thu Jan  1 00:00:30 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[5760, 0, [0,0,0], [-0.008407, 0.337745, -0.006408], 14, [-8.727919, -0.098067, 4.471833], [-6.656232, -0.748298, 3.404010], [-31.000000, 331.000000, -399.000000], [376.953491, 196.117599, -325.762787]]
DATA[5820, 0, [0,0,0], [-0.076213, 0.796352, -0.021832], 14, [-0.117680, -0.058840, 3.236195], [-10.744082, -0.526793, 2.879663], [-19.000000, 320.000000, -385.000000], [394.577301, 170.102005, -319.635590]]
DATA[5890, 0, [0,0,0], [-0.003672, -0.021139, 0.325750], 14, [-0.137293, 0.058840, 3.569621], [-9.785768, -0.350060, 2.453035], [-14.000000, 316.000000, -126.000000], [399.472809, 177.106201, -316.571991]]
DATA[5940, 0, [0,0,0], [0.275493, 0.008336, -0.004423], 14, [-0.039227, -0.235360, -0.058840], [-9.675285, -0.260515, 3.251473], [-2.000000, 307.000000, -119.000000], [409.263794, 167.100204, -315.550812]]
DATA[6010, 0, [0,0,0], [-0.006727, -0.006020, -0.005492], 14, [-0.117680, -0.549172, -0.117680], [-10.299751, -0.201604, 2.715208], [520.000000, 297.000000, -113.000000], [413.180206, 164.098404, -288.999603]]
DATA[6060, 0, [0,0,0], [-0.013141, 0.416546, -0.008088], 13, [-0.098067, -0.039227, -0.078453], [-7.866735, -0.034297, 2.503086], [522.000000, 294.000000, -115.000000], [421.992096, 163.097794, -305.338806]]
DATA[6120, 0, [0,0,0], [-0.195789, 0.008183, -0.255641], 13, [-8.727919, -0.039227, 2.314369], [-9.000381, -0.154475, 2.383916], [532.000000, 297.000000, -98.000000], [413.180206, 159.095398, -298.190399]]
DATA[6180, 0, [0,0,0], [-0.062621, -0.002355, 0.005809], 13, [-9.728197, -0.156906, -0.078453], [-10.657619, -0.152119, 1.642679], [540.000000, 288.000000, -89.000000], [430.803986, 150.089996, -266.533203]]
DATA[6250, 0, [0,0,0], [-0.187695, 0.009252, 0.411577], 13, [-0.078453, -0.176520, -0.019613], [-8.335086, -0.133267, 3.516030], [549.000000, 284.000000, -82.000000], [432.762207, 152.091202, -268.575592]]
DATA[6300, 0, [0,0,0], [-0.005658, -0.008616, 0.128899], 13, [-0.078453, 0.058840, -0.078453], [-10.717664, 0.059961, 1.959671], [548.000000, 272.000000, -84.000000], [422.971191, 148.088806, -278.787598]]
DATA[6370, 0, [0,0,0], [-0.016500, 0.001769, -0.210132], 13, [-0.117680, -0.019613, -0.078453], [-9.768955, -0.173327, 3.427845], [551.000000, 273.000000, -80.000000], [432.762207, 150.089996, -274.702789]]
DATA[6420, 0, [0,0,0], [-0.006727, 0.005129, -0.101397], 13, [-0.078453, -0.215746, 1.686744], [-9.187722, -0.067287, 1.754699], [556.000000, 278.000000, -65.000000], [442.553192, 146.087601, -254.278793]]
DATA[6480, 0, [0,0,0], [-0.002909, -0.001286, 0.001686], 13, [-10.042009, -0.490333, 1.039505], [-10.088394, -0.300575, 1.058747], [565.000000, 280.000000, -48.000000], [442.553192, 142.085205, -246.109207]]
DATA[6540, 0, [0,0,0], [-0.011308, 0.568804, 0.174714], 13, [-10.257756, -0.862985, -0.039227], [-9.946688, 0.001050, 0.763206], [575.000000, 280.000000, -27.000000], [455.281494, 151.090607, -230.791199]]
DATA[6600, 0, [0,0,0], [-0.018639, -0.002660, 0.334913], 13, [-0.117680, -0.137293, -0.137293], [-9.226151, 0.031683, 1.199367], [579.000000, 268.000000, -26.000000], [452.344208, 139.083405, -223.642807]]
DATA[6660, 0, [0,0,0], [-0.065981, -0.005256, 0.007184], 13, [-9.590904, -0.039227, 1.627904], [-10.266127, 0.057604, 0.977711], [586.000000, 259.000000, -17.000000], [465.072510, 123.073799, -205.261200]]
DATA[6720, 0, [0,0,0], [0.195164, 0.008946, -0.101550], 13, [-9.904716, -0.117680, 1.019892], [-9.430302, 0.026970, 0.722688], [589.000000, 261.000000, -8.000000], [462.135193, 125.074997, -203.218796]]
DATA[6780, 0, [0,0,0], [0.053902, -0.009685, 0.006726], 13, [-0.019613, 0.058840, 0.686466], [-9.454321, 0.151862, 1.020612], [591.000000, 262.000000, -4.000000], [466.051605, 134.080399, -204.240005]]
