
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3900, 0, [0,0,0], [-0.037568, 0.010385, -0.000305], [-0.274586, -0.078453, -0.156906], [-0.107677, -0.031107, 9.738789], [-40.000000, -179.000000, -685.000000], [169, -176, 270]]
DATA[3960, 0, [0,0,0], [-0.018326, 0.041539, -0.002291], [-0.254973, 0.000000, -0.156906], [-0.122034, -0.026321, 9.832108], [-39.000000, -175.000000, -684.000000], [167, -179, 278]]
DATA[4010, 0, [0,0,0], [-0.031307, 0.019395, 0.039859], [-0.196133, -0.098067, 10.120462], [-0.093320, -0.031107, 9.834501], [-40.000000, -176.000000, -680.000000], [160, -185, 275]]
DATA[4070, 0, [0,0,0], [-0.002749, -0.009621, 0.055589], [-0.588399, -0.313813, 11.101128], [-0.110070, -0.078963, 9.834501], [-37.000000, -179.000000, -682.000000], [160, -190, 278]]
DATA[4130, 0, [0,0,0], [-0.059254, -0.016952, 0.050855], [-0.235360, -0.117680, -0.058840], [-0.129212, -0.031107, 9.865608], [-41.000000, -177.000000, -681.000000], [169, -176, 275]]
DATA[4180, 0, [0,0,0], [-0.004276, -0.016952, 0.040317], [-0.235360, -0.117680, -0.039227], [-0.160319, -0.033500, 9.791430], [-35.000000, -175.000000, -684.000000], [172, -175, 273]]
DATA[4240, 0, [0,0,0], [-0.002138, -0.004581, -0.001374], [-0.137293, -0.196133, 10.355823], [-0.129212, -0.035892, 9.856036], [-36.000000, -176.000000, -684.000000], [172, -175, 269]]
DATA[4290, 0, [0,0,0], [-0.001680, -0.014203, 0.043677], [-0.156906, -0.078453, -0.117680], [-0.102891, -0.088534, 9.815358], [-39.000000, -176.000000, -681.000000], [176, -180, 278]]
DATA[4350, 0, [0,0,0], [-0.037721, 0.010537, 0.043524], [-0.274586, -0.117680, -0.078453], [-0.145962, -0.031107, 9.824930], [-40.000000, -176.000000, -682.000000], [171, -182, 275]]
DATA[4410, 0, [0,0,0], [-0.031307, 0.004581, 0.043066], [-0.215746, -0.137293, -0.137293], [-0.126820, -0.059821, 9.824930], [-39.000000, -179.000000, -685.000000], [166, -178, 272]]
